Index,STNAME,CTYNAME,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,"Less than a high school diploma, 2009-2013","High school diploma only, 2009-2013","Some college or associate's degree, 2009-2013","Bachelor's degree or higher, 2009-2013","Percent of adults with less than a high school diploma, 2009-2013","Percent of adults with a high school diploma only, 2009-2013","Percent of adults completing some college or associate's degree, 2009-2013","Percent of adults with a bachelor's degree or higher, 2009-2013",Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Median_Household_Income_2013
Georgia-Worth County,Georgia,Worth County,13,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,130","5,498","3,654","1,175",29,38,25,8,"9,222","8,397",825,9,"9,050","8,341",709,8,"36,616"
Georgia-Georgia,Georgia,Georgia,13,999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"964,958","1,817,352","1,772,976","1,767,834",15,29,28,28,"4,758,725","4,367,926","390,799",8,"4,756,708","4,414,343","342,365",7,"47,765"
Hawaii-Hawaii County,Hawaii,Hawaii County,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,642","41,981","42,540","33,054",9,32,33,26,"86,075","80,389","5,686",7,"87,346","82,500","4,846",6,"47,377"
Hawaii-Honolulu County,Hawaii,Honolulu County,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"62,961","174,322","205,679","209,418",10,27,32,32,"451,228","431,350","19,878",4,"463,568","444,678","18,890",4,"72,649"
Hawaii-Kalawao County,Hawaii,Kalawao County,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,12,27,12,28,18,42,,,,,,,,,
Hawaii-Kauai County,Hawaii,Kauai County,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,732","13,801","17,123","11,968",10,29,36,25,"33,951","32,061","1,890",6,"34,623","32,939","1,684",5,"55,844"
Hawaii-Maui County,Hawaii,Maui County,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,652","33,542","36,712","28,025",10,31,34,26,"79,825","75,728","4,097",5,"82,639","78,907","3,732",5,"62,277"
Hawaii-Hawaii,Hawaii,Hawaii,15,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,995","263,664","302,066","282,492",10,28,32,30,"651,080","619,528","31,552",5,"668,177","639,024","29,153",4,"67,798"
Idaho-Ada County,Idaho,Ada County,16,1,0,0,2,0,0,0,2,0,3,7,2,1,0,3,1,"16,754","56,405","93,849","93,992",6,22,36,36,"206,513","195,791","10,722",5,"210,284","201,664","8,620",4,"53,420"
Idaho-Adams County,Idaho,Adams County,16,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,216,"1,108","1,003",653,7,37,34,22,"1,707","1,475",232,14,"1,662","1,496",166,10,"37,630"
Idaho-Bannock County,Idaho,Bannock County,16,5,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"4,164","14,182","18,702","13,546",8,28,37,27,"41,405","38,988","2,417",6,"41,703","39,792","1,911",5,"42,665"
Idaho-Bear Lake County,Idaho,Bear Lake County,16,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,369,"1,558","1,391",637,9,39,35,16,"2,883","2,735",148,5,"2,859","2,732",127,4,"45,589"
Idaho-Benewah County,Idaho,Benewah County,16,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,807,"2,791","1,960",863,13,43,31,13,"3,990","3,588",402,10,"3,943","3,622",321,8,"39,530"
Idaho-Bingham County,Idaho,Bingham County,16,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"4,122","8,366","9,686","4,652",15,31,36,17,"22,292","20,989","1,303",6,"22,042","21,040","1,002",5,"47,721"
Idaho-Blaine County,Idaho,Blaine County,16,13,0,2,1,0,0,0,1,0,1,0,0,0,0,2,0,"1,398","2,378","4,462","6,672",9,16,30,45,"11,577","10,923",654,6,"11,429","10,919",510,5,"67,936"
Idaho-Boise County,Idaho,Boise County,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,560,"1,598","1,764","1,242",11,31,34,24,"2,914","2,683",231,8,"2,935","2,759",176,6,"48,974"
Idaho-Bonner County,Idaho,Bonner County,16,17,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,"2,762","9,120","11,480","6,255",9,31,39,21,"18,270","16,670","1,600",9,"18,138","16,858","1,280",7,"41,797"
Idaho-Bonneville County,Idaho,Bonneville County,16,19,0,0,0,0,0,0,1,0,1,4,1,1,2,2,1,"6,012","17,445","23,525","16,523",9,27,37,26,"48,945","46,280","2,665",5,"49,556","47,468","2,088",4,"50,559"
Idaho-Boundary County,Idaho,Boundary County,16,21,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"1,135","2,800","2,419","1,153",15,37,32,15,"4,912","4,515",397,8,"4,880","4,587",293,6,"39,681"
Idaho-Butte County,Idaho,Butte County,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,667,649,331,11,36,35,18,"1,294","1,207",87,7,"1,309","1,241",68,5,"41,739"
Idaho-Camas County,Idaho,Camas County,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,251,293,196,16,29,33,22,634,593,41,7,628,598,30,5,"47,911"
Idaho-Canyon County,Idaho,Canyon County,16,27,0,1,0,1,2,1,1,4,0,1,1,0,0,1,0,"19,741","36,080","39,267","19,229",17,32,34,17,"87,640","81,122","6,518",7,"88,595","83,404","5,191",6,"42,237"
Idaho-Caribou County,Idaho,Caribou County,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,"1,594","1,582",778,11,36,35,17,"3,897","3,692",205,5,"3,852","3,689",163,4,"54,579"
Idaho-Cassia County,Idaho,Cassia County,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2,972","3,542","4,897","2,109",22,26,36,16,"11,114","10,535",579,5,"11,117","10,640",477,4,"44,160"
Idaho-Clark County,Idaho,Clark County,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,142,140,55,30,30,29,11,424,398,26,6,441,421,20,5,"42,940"
Idaho-Clearwater County,Idaho,Clearwater County,16,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,007","2,439","2,171","1,030",15,37,33,15,"3,187","2,828",359,11,"3,110","2,817",293,9,"40,068"
Idaho-Custer County,Idaho,Custer County,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,"1,244",812,856,10,38,25,26,"2,207","2,023",184,8,"2,120","1,978",142,7,"41,522"
Idaho-Elmore County,Idaho,Elmore County,16,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2,534","4,714","5,907","2,677",16,30,37,17,"10,783","10,057",726,7,"11,011","10,426",585,5,"42,680"
Idaho-Franklin County,Idaho,Franklin County,16,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,"2,774","2,723","1,285",8,38,37,17,"6,263","6,003",260,4,"6,386","6,166",220,3,"44,790"
Idaho-Fremont County,Idaho,Fremont County,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,"2,570","3,004","1,616",12,31,37,20,"6,915","6,550",365,5,"7,013","6,733",280,4,"44,130"
Idaho-Gem County,Idaho,Gem County,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,586","4,340","3,859","1,830",14,37,33,16,"7,497","6,911",586,8,"7,529","7,088",441,6,"44,173"
Idaho-Gooding County,Idaho,Gooding County,16,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,429","2,988","2,978","1,152",25,31,31,12,"8,049","7,656",393,5,"7,953","7,634",319,4,"41,310"
Idaho-Idaho County,Idaho,Idaho County,16,49,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,"1,319","4,882","3,917","1,754",11,41,33,15,"6,565","5,929",636,10,"6,455","5,969",486,8,"39,434"
Idaho-Jefferson County,Idaho,Jefferson County,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"1,596","4,309","5,821","3,302",11,29,39,22,"12,140","11,519",621,5,"12,275","11,782",493,4,"52,950"
Idaho-Jerome County,Idaho,Jerome County,16,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,970","3,614","3,945","1,791",30,27,30,13,"10,952","10,371",581,5,"11,077","10,628",449,4,"41,595"
Idaho-Kootenai County,Idaho,Kootenai County,16,55,0,0,0,0,2,0,0,2,1,1,0,1,1,2,2,"7,416","27,749","37,258","21,955",8,29,39,23,"69,210","64,187","5,023",7,"70,488","66,506","3,982",6,"51,681"
Idaho-Latah County,Idaho,Latah County,16,57,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,986,"4,339","6,431","9,264",5,21,31,44,"19,420","18,464",956,5,"19,091","18,303",788,4,"43,699"
Idaho-Lemhi County,Idaho,Lemhi County,16,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,"1,771","2,177","1,410",10,30,37,24,"3,436","3,114",322,9,"3,358","3,100",258,8,"38,367"
Idaho-Lewis County,Idaho,Lewis County,16,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,987,"1,022",451,12,35,37,16,"1,612","1,531",81,5,"1,606","1,538",68,4,"41,190"
Idaho-Lincoln County,Idaho,Lincoln County,16,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,"1,056",885,365,26,34,29,12,"2,647","2,446",201,8,"2,606","2,457",149,6,"42,625"
Idaho-Madison County,Idaho,Madison County,16,65,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,756,"2,356","6,786","5,034",5,16,45,34,"18,443","17,691",752,4,"18,851","18,229",622,3,"37,142"
Idaho-Minidoka County,Idaho,Minidoka County,16,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,057","4,150","4,104","1,245",24,33,33,10,"10,381","9,806",575,6,"10,385","9,909",476,5,"41,968"
Idaho-Nez Perce County,Idaho,Nez Perce County,16,69,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"2,722","8,600","10,045","5,724",10,32,37,21,"20,217","19,212","1,005",5,"20,412","19,583",829,4,"46,753"
Idaho-Oneida County,Idaho,Oneida County,16,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,"1,038","1,149",362,7,38,42,13,"2,094","2,005",89,4,"2,132","2,048",84,4,"45,040"
Idaho-Owyhee County,Idaho,Owyhee County,16,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,783","2,788","2,092",592,25,38,29,8,"5,119","4,922",197,4,"5,086","4,920",166,3,"35,017"
Idaho-Payette County,Idaho,Payette County,16,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,112","5,168","4,781","2,361",15,36,33,16,"10,817","10,113",704,7,"10,910","10,302",608,6,"43,642"
Idaho-Power County,Idaho,Power County,16,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,926,"1,647","1,370",747,20,35,29,16,"3,981","3,718",263,7,"3,991","3,798",193,5,"44,450"
Idaho-Shoshone County,Idaho,Shoshone County,16,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,409","3,095","3,519","1,250",15,33,38,13,"5,491","4,827",664,12,"5,215","4,691",524,10,"37,431"
Idaho-Teton County,Idaho,Teton County,16,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,796,"1,458","2,032","2,243",12,22,31,34,"5,453","5,181",272,5,"5,589","5,369",220,4,"52,650"
Idaho-Twin Falls County,Idaho,Twin Falls County,16,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,031","14,366","18,842","8,060",16,29,38,16,"38,561","36,387","2,174",6,"38,168","36,513","1,655",4,"44,602"
Idaho-Valley County,Idaho,Valley County,16,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,"2,010","2,158","2,456",8,28,30,34,"4,545","4,078",467,10,"4,506","4,169",337,8,"48,879"
Idaho-Washington County,Idaho,Washington County,16,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,298","2,167","2,479","1,195",18,30,35,17,"4,762","4,412",350,7,"4,544","4,251",293,6,"37,539"
Idaho-Idaho,Idaho,Idaho,16,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"112,071","278,646","359,336","250,893",11,28,36,25,"771,154","724,121","47,033",6,"777,238","739,834","37,404",5,"46,621"
Illinois-Adams County,Illinois,Adams County,17,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,3,"4,730","16,635","14,761","9,766",10,36,32,21,"32,917","30,678","2,239",7,"32,629","30,872","1,757",5,"43,604"
Illinois-Alexander County,Illinois,Alexander County,17,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1,361","1,941","1,614",452,25,36,30,8,"2,687","2,346",341,13,"2,617","2,341",276,11,"30,141"
Illinois-Bond County,Illinois,Bond County,17,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"1,584","4,235","3,518","2,200",14,37,30,19,"8,011","7,323",688,9,"7,962","7,444",518,7,"48,464"
Illinois-Boone County,Illinois,Boone County,17,7,0,2,1,1,0,0,0,0,0,0,0,2,0,3,1,"4,863","12,339","10,475","6,602",14,36,31,19,"26,411","23,713","2,698",10,"26,253","24,177","2,076",8,"59,537"
Illinois-Brown County,Illinois,Brown County,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,"1,845","1,640",614,19,37,33,12,"2,612","2,450",162,6,"2,747","2,631",116,4,"46,522"
Illinois-Bureau County,Illinois,Bureau County,17,11,0,0,2,0,0,0,0,0,0,1,1,2,1,2,0,"2,612","9,450","7,949","4,230",11,39,33,17,"17,720","16,083","1,637",9,"17,539","16,248","1,291",7,"49,062"
Illinois-Calhoun County,Illinois,Calhoun County,17,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,398,"1,588","1,104",520,11,44,31,14,"2,412","2,175",237,10,"2,411","2,211",200,8,"48,504"
Illinois-Carroll County,Illinois,Carroll County,17,15,0,0,0,0,1,1,0,6,3,4,2,0,3,6,3,"1,236","4,610","3,571","1,675",11,42,32,15,"7,884","7,242",642,8,"7,888","7,375",513,7,"43,643"
Illinois-Cass County,Illinois,Cass County,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1,274","4,231","2,430","1,185",14,46,27,13,"6,439","5,859",580,9,"6,398","5,955",443,7,"45,257"
Illinois-Champaign County,Illinois,Champaign County,17,19,0,0,0,0,2,2,0,3,1,1,0,0,2,5,7,"7,356","26,505","32,586","48,844",6,23,28,42,"103,041","95,261","7,780",8,"103,145","96,902","6,243",6,"46,917"
Illinois-Christian County,Illinois,Christian County,17,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"2,850","10,614","7,475","3,280",12,44,31,14,"16,035","14,478","1,557",10,"15,830","14,624","1,206",8,"49,391"
Illinois-Clark County,Illinois,Clark County,17,23,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,"1,185","4,368","3,753","1,988",10,39,33,18,"7,941","7,192",749,9,"7,962","7,384",578,7,"46,287"
Illinois-Clay County,Illinois,Clay County,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"1,166","4,034","2,963","1,334",12,42,31,14,"6,318","5,684",634,10,"6,441","5,919",522,8,"42,369"
Illinois-Clinton County,Illinois,Clinton County,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,963","8,317","9,689","5,325",11,32,37,20,"19,925","18,554","1,371",7,"19,958","18,853","1,105",6,"61,843"
Illinois-Coles County,Illinois,Coles County,17,29,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,"3,156","10,233","10,528","7,653",10,32,33,24,"24,393","22,241","2,152",9,"24,362","22,704","1,658",7,"39,353"
Illinois-Cook County,Illinois,Cook County,17,31,5,7,7,16,23,42,35,30,21,29,43,63,53,78,48,"541,355","842,779","891,581","1,208,856",16,24,26,35,"2,677,534","2,420,728","256,806",10,"2,666,625","2,470,186","196,439",7,"53,795"
Illinois-Crawford County,Illinois,Crawford County,17,33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"1,501","4,892","5,087","2,370",11,35,37,17,"9,980","9,122",858,9,"9,857","9,203",654,7,"47,517"
Illinois-Cumberland County,Illinois,Cumberland County,17,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,"2,963","2,682","1,043",11,39,36,14,"5,829","5,356",473,8,"5,883","5,525",358,6,"47,382"
Illinois-DeKalb County,Illinois,DeKalb County,17,37,1,1,1,0,1,3,1,4,1,0,1,2,2,1,2,"5,310","16,033","20,691","17,804",9,27,35,30,"54,646","50,181","4,465",8,"54,706","51,114","3,592",7,"54,204"
Illinois-De Witt County,Illinois,De Witt County,17,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,861,"5,058","3,739","1,954",7,44,32,17,"8,148","7,475",673,8,"7,977","7,454",523,7,"53,303"
Illinois-Douglas County,Illinois,Douglas County,17,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"2,146","5,014","3,912","2,140",16,38,30,16,"9,776","9,086",690,7,"9,853","9,270",583,6,"49,179"
Illinois-DuPage County,Illinois,DuPage County,17,43,2,2,5,6,9,12,10,16,17,18,19,32,27,39,22,"48,811","119,881","163,837","286,226",8,19,26,46,"511,872","474,214","37,658",7,"512,869","483,899","28,970",6,"76,269"
Illinois-Edgar County,Illinois,Edgar County,17,45,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,"1,821","4,933","3,903","2,365",14,38,30,18,"9,018","8,167",851,9,"9,160","8,502",658,7,"44,433"
Illinois-Edwards County,Illinois,Edwards County,17,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,616,"1,678","1,894",491,13,36,40,10,"2,867","2,619",248,9,"2,863","2,668",195,7,"45,675"
Illinois-Effingham County,Illinois,Effingham County,17,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,078","8,418","7,874","4,579",9,37,34,20,"18,055","16,796","1,259",7,"18,367","17,345","1,022",6,"50,900"
Illinois-Fayette County,Illinois,Fayette County,17,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,339","6,244","4,314","1,948",16,42,29,13,"10,139","9,185",954,9,"9,745","8,999",746,8,"43,014"
Illinois-Ford County,Illinois,Ford County,17,53,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"1,109","3,884","3,152","1,589",11,40,32,16,"6,557","6,047",510,8,"6,566","6,165",401,6,"52,375"
Illinois-Franklin County,Illinois,Franklin County,17,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3,522","9,508","10,767","3,596",13,35,39,13,"16,853","14,828","2,025",12,"16,504","14,960","1,544",9,"35,681"
Illinois-Fulton County,Illinois,Fulton County,17,57,0,0,0,0,0,1,0,1,1,0,0,1,5,4,4,"3,578","9,833","9,067","3,822",14,37,34,15,"16,191","14,423","1,768",11,"15,762","14,401","1,361",9,"46,342"
Illinois-Gallatin County,Illinois,Gallatin County,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,"1,414","1,336",477,19,36,34,12,"2,451","2,215",236,10,"2,410","2,230",180,8,"40,349"
Illinois-Greene County,Illinois,Greene County,17,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"1,092","4,142","3,130","1,244",11,43,33,13,"6,319","5,763",556,9,"6,223","5,792",431,7,"41,588"
Illinois-Grundy County,Illinois,Grundy County,17,63,2,2,2,2,0,0,0,0,3,2,0,2,1,1,0,"2,698","12,185","11,161","6,580",8,37,34,20,"25,931","22,955","2,976",12,"25,608","23,428","2,180",9,"68,474"
Illinois-Hamilton County,Illinois,Hamilton County,17,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,956,"2,078","1,939",926,16,35,33,16,"4,078","3,764",314,8,"4,342","4,085",257,6,"42,330"
Illinois-Hancock County,Illinois,Hancock County,17,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,273","5,184","4,596","2,488",9,38,34,18,"8,906","8,131",775,9,"8,831","8,239",592,7,"47,965"
Illinois-Hardin County,Illinois,Hardin County,17,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,524,"1,192","1,021",379,17,38,33,12,"1,679","1,483",196,12,"1,628","1,485",143,9,"36,567"
Illinois-Henderson County,Illinois,Henderson County,17,71,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,613,"2,168","1,674",832,12,41,32,16,"3,667","3,377",290,8,"3,750","3,513",237,6,"45,022"
Illinois-Henry County,Illinois,Henry County,17,73,0,0,1,1,1,0,0,0,2,0,1,0,1,0,0,"3,560","12,445","11,715","6,833",10,36,34,20,"25,409","23,425","1,984",8,"25,336","23,634","1,702",7,"52,117"
Illinois-Iroquois County,Illinois,Iroquois County,17,75,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,"2,388","8,555","6,551","2,981",12,42,32,15,"14,972","13,703","1,269",9,"14,801","13,836",965,7,"46,977"
Illinois-Jackson County,Illinois,Jackson County,17,77,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"3,538","8,431","10,350","12,097",10,24,30,35,"28,087","25,822","2,265",8,"27,791","25,969","1,822",7,"34,243"
Illinois-Jasper County,Illinois,Jasper County,17,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,"2,595","2,535","1,101",9,38,37,16,"4,733","4,348",385,8,"4,736","4,431",305,6,"52,187"
Illinois-Jefferson County,Illinois,Jefferson County,17,81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"3,545","9,303","9,778","4,282",13,35,36,16,"17,787","16,111","1,676",9,"17,591","16,278","1,313",8,"40,663"
Illinois-Jersey County,Illinois,Jersey County,17,83,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"1,812","5,252","5,959","2,523",12,34,38,16,"11,132","10,132","1,000",9,"11,086","10,292",794,7,"54,331"
Illinois-Jo Daviess County,Illinois,Jo Daviess County,17,85,0,0,1,8,5,15,21,9,7,1,0,0,4,14,8,"1,342","6,334","4,938","3,911",8,38,30,24,"11,579","10,693",886,8,"11,589","10,870",719,6,"49,573"
Illinois-Johnson County,Illinois,Johnson County,17,87,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"1,525","3,026","3,268","1,386",17,33,36,15,"4,266","3,739",527,12,"4,133","3,729",404,10,"39,965"
Illinois-Kane County,Illinois,Kane County,17,89,4,0,0,1,7,5,2,6,5,12,7,9,4,18,5,"56,138","77,747","89,513","103,491",17,24,27,32,"264,317","241,200","23,117",9,"263,989","245,617","18,372",7,"71,444"
Illinois-Kankakee County,Illinois,Kankakee County,17,91,0,0,1,0,1,0,0,1,0,0,0,0,2,2,2,"9,928","25,286","25,367","12,459",14,35,35,17,"55,695","49,845","5,850",11,"55,367","50,883","4,484",8,"49,584"
Illinois-Kendall County,Illinois,Kendall County,17,93,0,0,0,0,0,0,1,0,0,0,1,0,0,2,3,"5,411","18,423","23,705","24,656",7,26,33,34,"64,570","59,199","5,371",8,"64,498","60,407","4,091",6,"79,648"
Illinois-Knox County,Illinois,Knox County,17,95,0,1,0,0,0,0,0,0,0,0,0,1,1,5,4,"5,137","13,670","11,517","6,231",14,37,32,17,"23,655","21,546","2,109",9,"23,483","21,843","1,640",7,"39,494"
Illinois-Lake County,Illinois,Lake County,17,97,1,1,4,5,6,3,4,8,5,8,6,17,10,36,19,"49,893","94,641","116,106","188,068",11,21,26,42,"365,260","335,774","29,486",8,"366,147","342,289","23,858",7,"75,106"
Illinois-La Salle County,Illinois,La Salle County,17,99,0,0,2,0,0,1,2,5,1,2,3,4,3,6,3,"9,010","29,691","26,846","12,418",12,38,34,16,"58,105","52,029","6,076",11,"57,094","52,377","4,717",8,"49,487"
Illinois-Lawrence County,Illinois,Lawrence County,17,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"2,925","4,163","4,132","1,024",24,34,34,8,"6,295","5,674",621,10,"6,352","5,871",481,8,"39,670"
Illinois-Lee County,Illinois,Lee County,17,103,0,0,0,2,1,1,1,2,0,0,1,1,0,1,3,"3,383","8,955","8,602","4,003",14,36,34,16,"18,126","16,621","1,505",8,"18,153","16,975","1,178",7,"53,126"
Illinois-Livingston County,Illinois,Livingston County,17,105,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,"3,770","10,946","8,525","3,956",14,40,31,15,"17,688","16,243","1,445",8,"17,576","16,444","1,132",6,"52,819"
Illinois-Logan County,Illinois,Logan County,17,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,990","7,665","7,018","3,405",14,36,33,16,"13,091","12,023","1,068",8,"13,097","12,248",849,7,"50,991"
Illinois-McDonough County,Illinois,McDonough County,17,109,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"1,504","5,219","5,293","6,006",8,29,29,33,"14,625","13,402","1,223",8,"14,295","13,304",991,7,"41,661"
Illinois-McHenry County,Illinois,McHenry County,17,111,1,0,2,5,6,7,8,6,3,6,1,18,26,36,31,"15,857","54,411","65,905","65,336",8,27,33,32,"167,111","152,892","14,219",9,"166,668","156,033","10,635",6,"75,713"
Illinois-McLean County,Illinois,McLean County,17,113,3,0,0,0,1,0,0,5,1,4,2,1,1,2,2,"5,770","26,104","26,671","43,838",6,25,26,43,"92,480","86,332","6,148",7,"90,929","85,893","5,036",6,"62,261"
Illinois-Macon County,Illinois,Macon County,17,115,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,"8,909","25,941","23,433","16,686",12,35,31,22,"52,468","46,448","6,020",12,"50,806","46,400","4,406",9,"46,179"
Illinois-Macoupin County,Illinois,Macoupin County,17,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"3,598","12,770","11,367","5,254",11,39,34,16,"23,429","21,208","2,221",10,"23,283","21,550","1,733",7,"50,089"
Illinois-Madison County,Illinois,Madison County,17,119,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,"16,477","60,404","60,227","44,191",9,33,33,24,"133,020","121,136","11,884",9,"132,323","122,984","9,339",7,"53,864"
Illinois-Marion County,Illinois,Marion County,17,121,0,0,1,0,0,0,1,1,0,1,0,1,0,2,0,"3,574","9,840","9,658","3,716",13,37,36,14,"18,116","16,267","1,849",10,"17,872","16,478","1,394",8,"40,969"
Illinois-Marshall County,Illinois,Marshall County,17,123,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,822,"3,780","2,817","1,518",9,42,32,17,"5,892","5,361",531,9,"5,787","5,384",403,7,"50,899"
Illinois-Mason County,Illinois,Mason County,17,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,512","4,100","3,284","1,471",15,40,32,14,"6,733","5,990",743,11,"6,632","6,054",578,9,"45,563"
Illinois-Massac County,Illinois,Massac County,17,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1,779","3,388","3,735","1,790",17,32,35,17,"6,400","5,772",628,10,"6,350","5,841",509,8,"41,373"
Illinois-Menard County,Illinois,Menard County,17,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,"3,462","2,772","1,956",7,39,31,22,"6,724","6,247",477,7,"6,733","6,347",386,6,"60,151"
Illinois-Mercer County,Illinois,Mercer County,17,131,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,"1,093","4,764","3,966","1,697",9,41,34,15,"8,397","7,730",667,8,"8,394","7,805",589,7,"53,626"
Illinois-Monroe County,Illinois,Monroe County,17,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,642","7,868","7,396","5,906",7,34,32,26,"17,703","16,510","1,193",7,"17,727","16,764",963,5,"71,604"
