Index,STNAME,CTYNAME,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,"Less than a high school diploma, 2009-2013","High school diploma only, 2009-2013","Some college or associate's degree, 2009-2013","Bachelor's degree or higher, 2009-2013","Percent of adults with less than a high school diploma, 2009-2013","Percent of adults with a high school diploma only, 2009-2013","Percent of adults completing some college or associate's degree, 2009-2013","Percent of adults with a bachelor's degree or higher, 2009-2013",Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Median_Household_Income_2013
Virginia-Brunswick County,Virginia,Brunswick County,51,25,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,"3,488","4,004","3,187","1,489",29,33,26,12,"6,674","6,049",625,9,"6,516","5,980",536,8,"37,800"
Virginia-Buchanan County,Virginia,Buchanan County,51,27,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"5,654","6,169","4,467","1,468",32,35,25,8,"8,174","7,286",888,11,"7,874","7,058",816,10,"31,621"
Virginia-Buckingham County,Virginia,Buckingham County,51,29,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,"3,631","4,619","2,756","1,486",29,37,22,12,"6,412","5,914",498,8,"6,516","6,087",429,7,"39,538"
Virginia-Campbell County,Virginia,Campbell County,51,31,0,0,1,0,0,2,2,1,1,0,2,9,5,2,2,"6,193","13,883","11,526","6,514",16,36,30,17,"26,996","25,391","1,605",6,"27,112","25,677","1,435",5,"47,982"
Virginia-Caroline County,Virginia,Caroline County,51,33,0,1,0,0,0,0,2,4,4,0,0,2,2,5,3,"3,737","7,312","5,233","3,280",19,37,27,17,"14,608","13,582","1,026",7,"14,731","13,829",902,6,"55,760"
Virginia-Carroll County,Virginia,Carroll County,51,35,0,0,1,0,0,0,0,1,0,0,0,3,8,20,31,"5,207","7,343","6,542","2,803",24,34,30,13,"13,290","12,194","1,096",8,"13,228","12,335",893,7,"36,218"
Virginia-Charles City County,Virginia,Charles City County,51,36,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,"1,311","2,222","1,158",759,24,41,21,14,"3,793","3,540",253,7,"3,819","3,598",221,6,"48,394"
Virginia-Charlotte County,Virginia,Charlotte County,51,37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"2,170","2,978","2,114","1,347",25,35,25,16,"5,325","4,912",413,8,"5,331","4,972",359,7,"35,715"
Virginia-Chesterfield County,Virginia,Chesterfield County,51,41,0,3,4,4,1,4,2,10,16,15,6,14,13,18,18,"20,834","51,140","61,999","76,334",10,24,29,36,"175,037","165,177","9,860",6,"177,328","168,286","9,042",5,"67,454"
Virginia-Clarke County,Virginia,Clarke County,51,43,0,1,0,1,1,0,6,11,14,9,22,17,8,12,9,"1,116","2,987","2,869","3,172",11,29,28,31,"7,640","7,278",362,5,"7,642","7,312",330,4,"74,384"
Virginia-Craig County,Virginia,Craig County,51,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,"1,577","1,190",536,10,43,32,15,"2,462","2,288",174,7,"2,473","2,318",155,6,"45,527"
Virginia-Culpeper County,Virginia,Culpeper County,51,47,0,0,0,0,0,4,6,12,6,9,11,9,16,9,6,"4,938","10,931","8,476","7,117",16,35,27,23,"23,434","22,175","1,259",5,"23,463","22,300","1,163",5,"63,876"
Virginia-Cumberland County,Virginia,Cumberland County,51,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"1,561","2,653","1,605",948,23,39,24,14,"4,515","4,218",297,7,"4,531","4,256",275,6,"41,799"
Virginia-Dickenson County,Virginia,Dickenson County,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,128","4,017","2,986","1,190",28,35,26,11,"5,342","4,761",581,11,"5,239","4,720",519,10,"33,386"
Virginia-Dinwiddie County,Virginia,Dinwiddie County,51,53,0,0,0,0,1,2,0,2,1,0,1,1,0,0,1,"3,823","7,829","5,208","2,465",20,41,27,13,"13,564","12,573",991,7,"13,659","12,790",869,6,"51,864"
Virginia-Essex County,Virginia,Essex County,51,57,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,"1,792","2,875","1,908","1,129",23,37,25,15,"5,697","5,319",378,7,"5,773","5,406",367,6,"44,427"
Virginia-Fairfax County,Virginia,Fairfax County,51,59,19,37,69,3,1,10,102,209,190,232,203,126,148,243,274,"61,337","100,124","148,046","438,877",8,13,20,59,"625,508","598,080","27,428",4,"627,615","601,998","25,617",4,"110,658"
Virginia-Fauquier County,Virginia,Fauquier County,51,61,1,2,3,8,3,25,8,40,38,22,21,17,29,27,23,"3,845","12,351","13,695","14,889",9,28,31,33,"35,988","34,219","1,769",5,"36,018","34,393","1,625",5,"82,705"
Virginia-Floyd County,Virginia,Floyd County,51,63,0,0,0,0,0,0,0,2,5,11,14,8,33,50,47,"2,072","4,087","3,204","1,785",19,37,29,16,"8,408","7,951",457,5,"8,433","8,046",387,5,"41,652"
Virginia-Fluvanna County,Virginia,Fluvanna County,51,65,0,1,1,0,3,1,0,1,0,5,2,2,3,7,8,"2,663","5,177","5,239","5,293",14,28,29,29,"13,060","12,439",621,5,"13,402","12,830",572,4,"63,117"
Virginia-Franklin County,Virginia,Franklin County,51,67,1,0,0,0,1,0,0,0,1,0,0,0,2,2,1,"6,938","13,520","11,950","7,663",17,34,30,19,"27,265","25,664","1,601",6,"27,446","25,992","1,454",5,"48,070"
Virginia-Frederick County,Virginia,Frederick County,51,69,0,1,2,2,0,0,3,39,51,16,77,44,58,33,30,"7,557","16,302","15,198","14,780",14,30,28,27,"44,230","41,897","2,333",5,"44,689","42,610","2,079",5,"68,166"
